                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.92315,                 1.2006,                 1.4394,                 1.3616,                0.73075,                0.73333,                0.84648,                0.56746,                0.76884,                0.76667,                0.84486,                0.61325,                 1.0325,                0.91677,                  1.906,                 1.6507,              0.0010892,              0.0010892,              0.0010892
                     25,                0.83589,                 1.3769,                 1.2965,                 1.2776,                0.85858,                      1,                0.97199,                0.74187,                0.85858,                      1,                0.97199,                0.77173,                0.78772,                0.86913,                 1.6388,                 1.4563,              0.0010496,              0.0010496,              0.0010496
                     26,                0.80737,                 1.0433,                 1.3103,                 1.2725,                0.85858,                      1,                0.97199,                0.74187,                0.85858,                      1,                0.97199,                0.77173,                0.78772,                0.86913,                 1.6388,                 1.4563,                0.00101,                0.00101,                0.00101
                     27,                0.75967,                  1.389,                 1.2449,                 1.2946,                0.96546,                0.93183,                0.98994,                0.74707,                0.96546,                0.93183,                0.98994,                0.86731,                0.79574,                0.69005,                 2.0908,                 1.4639,              0.0009704,              0.0009704,              0.0009704
                     28,                0.89642,                 1.3236,                 1.3861,                 1.3146,                0.96546,                0.93183,                0.98994,                0.74707,                0.96546,                0.93183,                0.98994,                0.86731,                0.79574,                0.69005,                 2.0908,                 1.4639,              0.0009308,              0.0009308,              0.0009308
                     29,                0.69878,                 1.0118,                 1.1861,                 1.2136,                0.97333,                0.96667,                0.99403,                0.78938,                0.97333,                0.96667,                0.99403,                0.88368,                 0.7144,                0.60042,                 1.7367,                  1.387,              0.0008912,              0.0008912,              0.0008912
                     30,                0.80037,                 1.3224,                  1.248,                 1.2941,                0.97333,                0.96667,                0.99403,                0.78938,                0.97333,                0.96667,                0.99403,                0.88368,                 0.7144,                0.60042,                 1.7367,                  1.387,              0.0008516,              0.0008516,              0.0008516
                     31,                0.73072,                0.93166,                 1.0967,                 1.2305,                0.93187,                      1,                0.99306,                 0.7562,                0.93187,                      1,                0.99306,                0.87147,                0.76476,                0.63689,                 1.5059,                 1.5597,               0.000812,               0.000812,               0.000812
                     32,                0.82316,                 1.1691,                 1.2865,                 1.3356,                0.93187,                      1,                0.99306,                 0.7562,                0.93187,                      1,                0.99306,                0.87147,                0.76476,                0.63689,                 1.5059,                 1.5597,              0.0007724,              0.0007724,              0.0007724
                     33,                0.82694,                0.96396,                 1.3086,                 1.3582,                0.99855,                      1,                  0.995,                0.79514,                0.99855,                      1,                  0.995,                0.89052,                0.72032,                0.60978,                 1.4393,                 1.4679,              0.0007328,              0.0007328,              0.0007328
                     34,                0.74199,                 1.1642,                 1.0816,                 1.2697,                0.99855,                      1,                  0.995,                0.79514,                0.99855,                      1,                  0.995,                0.89052,                0.72032,                0.60978,                 1.4393,                 1.4679,              0.0006932,              0.0006932,              0.0006932
                     35,                0.83811,                 1.1279,                 1.1883,                 1.2926,                0.99855,                      1,                  0.995,                0.79514,                0.99855,                      1,                  0.995,                0.89052,                0.72032,                0.60978,                 1.4393,                 1.4679,              0.0006536,              0.0006536,              0.0006536
                     36,                0.73534,                 1.0606,                 1.1061,                 1.1777,                0.98776,                      1,                  0.995,                 0.8021,                0.98776,                      1,                  0.995,                0.89185,                0.74855,                0.64126,                 1.4759,                 1.4507,               0.000614,               0.000614,               0.000614
                     37,                0.80233,                 1.0793,                  1.159,                 1.2546,                0.98776,                      1,                  0.995,                 0.8021,                0.98776,                      1,                  0.995,                0.89185,                0.74855,                0.64126,                 1.4759,                 1.4507,              0.0005744,              0.0005744,              0.0005744
                     38,                0.74579,                  1.126,                 1.1795,                 1.2474,                0.99115,                      1,                  0.995,                0.78168,                0.99115,                      1,                  0.995,                0.88982,                0.78593,                0.60664,                 1.4655,                 1.4656,              0.0005348,              0.0005348,              0.0005348
                     39,                0.83807,                 1.1049,                 1.2082,                 1.3122,                0.99115,                      1,                  0.995,                0.78168,                0.99115,                      1,                  0.995,                0.88982,                0.78593,                0.60664,                 1.4655,                 1.4656,              0.0004952,              0.0004952,              0.0004952
                     40,                0.75931,                0.97096,                 1.1324,                 1.2258,                0.99712,                      1,                  0.995,                0.80481,                0.99712,                      1,                  0.995,                0.89389,                0.70973,                0.56907,                 1.3295,                 1.3471,              0.0004556,              0.0004556,              0.0004556
                     41,                0.67284,                 1.3029,                 1.8297,                 1.3538,                0.99712,                      1,                  0.995,                0.80481,                0.99712,                      1,                  0.995,                0.89389,                0.70973,                0.56907,                 1.3295,                 1.3471,               0.000416,               0.000416,               0.000416
                     42,                0.66076,                 1.1545,                 1.7125,                 1.3057,                0.99796,                      1,                  0.995,                0.84435,                0.99796,                      1,                  0.995,                0.89243,                0.60244,                0.55591,                  1.236,                 1.2501,              0.0003764,              0.0003764,              0.0003764
                     43,                0.60846,                 1.0721,                 1.7039,                 1.3108,                0.99796,                      1,                  0.995,                0.84435,                0.99796,                      1,                  0.995,                0.89243,                0.60244,                0.55591,                  1.236,                 1.2501,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.6213,                0.90889,                  1.592,                 1.2934,                  0.996,                      1,                  0.995,                0.85965,                  0.996,                      1,                  0.995,                 0.8936,                0.58719,                0.56711,                 1.2913,                 1.2528,              0.0002972,              0.0002972,              0.0002972
                     45,                0.57848,                0.80374,                 1.6127,                  1.197,                  0.996,                      1,                  0.995,                0.85965,                  0.996,                      1,                  0.995,                 0.8936,                0.58719,                0.56711,                 1.2913,                 1.2528,              0.0002576,              0.0002576,              0.0002576
                     46,                0.63743,                0.96329,                 1.6522,                 1.3236,                0.99663,                      1,                  0.995,                0.84114,                0.99663,                      1,                  0.995,                 0.8956,                0.61111,                0.57959,                 1.3436,                 1.2665,               0.000218,               0.000218,               0.000218
                     47,                0.63049,                 0.9553,                 1.4935,                 1.4146,                0.99663,                      1,                  0.995,                0.84114,                0.99663,                      1,                  0.995,                 0.8956,                0.61111,                0.57959,                 1.3436,                 1.2665,              0.0001784,              0.0001784,              0.0001784
                     48,                0.62972,                  1.025,                 1.4511,                 1.3018,                0.99671,                      1,                  0.995,                0.85812,                0.99671,                      1,                  0.995,                0.89549,                0.59695,                0.57201,                 1.3387,                 1.2443,              0.0001388,              0.0001388,              0.0001388
                     49,                0.66553,                0.83142,                 1.5114,                  1.378,                0.99671,                      1,                  0.995,                0.85812,                0.99671,                      1,                  0.995,                0.89549,                0.59695,                0.57201,                 1.3387,                 1.2443,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.62268,                0.80924,                 1.4804,                 1.3028,                0.99671,                      1,                  0.995,                0.85812,                0.99671,                      1,                  0.995,                0.89549,                0.59695,                0.57201,                 1.3387,                 1.2443,               5.96e-05,               5.96e-05,               5.96e-05
