                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.78362,                 1.3753,                 1.4747,                 1.3062,                0.85475,                 0.9697,                0.96924,                0.73388,                0.85475,                 0.9697,                0.96924,                0.78852,                0.64832,                0.78733,                 1.5974,                 1.2263,              0.0010892,              0.0010892,              0.0010892
                     25,                 0.7608,                 1.1524,                 1.3301,                 1.1977,                0.85475,                 0.9697,                0.96924,                0.73388,                0.85475,                 0.9697,                0.96924,                0.78852,                0.64832,                0.78733,                 1.5974,                 1.2263,              0.0010496,              0.0010496,              0.0010496
                     26,                0.73266,                 1.1115,                 1.3228,                 1.3203,                0.80858,                0.89622,                0.94436,                0.74873,                0.80858,                0.89622,                0.94436,                0.79275,                0.67083,                0.67886,                  1.562,                 1.2725,                0.00101,                0.00101,                0.00101
                     27,                0.71214,                 1.1409,                 1.2083,                 1.2138,                0.80858,                0.89622,                0.94436,                0.74873,                0.80858,                0.89622,                0.94436,                0.79275,                0.67083,                0.67886,                  1.562,                 1.2725,              0.0009704,              0.0009704,              0.0009704
                     28,                0.70781,                0.97218,                 1.2695,                  1.221,                0.96396,                0.84848,                0.94711,                 0.7774,                0.96396,                0.84848,                0.94711,                0.80104,                0.71337,                0.69389,                 1.5832,                 1.3459,              0.0009308,              0.0009308,              0.0009308
                     29,                0.62879,                0.97387,                 1.1879,                 1.1178,                0.96396,                0.84848,                0.94711,                 0.7774,                0.96396,                0.84848,                0.94711,                0.80104,                0.71337,                0.69389,                 1.5832,                 1.3459,              0.0008912,              0.0008912,              0.0008912
                     30,                0.67672,                0.85389,                 1.2387,                 1.2163,                 0.9615,                0.90909,                0.96704,                0.78971,                 0.9615,                0.90909,                0.96704,                0.83739,                0.66138,                0.67242,                 1.4525,                    1.3,              0.0008516,              0.0008516,              0.0008516
                     31,                0.66106,                 1.1632,                  1.162,                 1.1427,                 0.9615,                0.90909,                0.96704,                0.78971,                 0.9615,                0.90909,                0.96704,                0.83739,                0.66138,                0.67242,                 1.4525,                    1.3,               0.000812,               0.000812,               0.000812
                     32,                0.61567,                 0.9375,                 1.0373,                 1.1663,                0.98781,                0.87879,                0.97728,                0.81323,                0.98781,                0.87879,                0.97728,                0.85418,                0.56294,                0.71815,                 1.3643,                 1.1944,              0.0007724,              0.0007724,              0.0007724
                     33,                0.66644,                 1.0284,                  1.258,                 1.2412,                      1,                0.93707,                0.98862,                0.84039,                      1,                0.93707,                0.98862,                0.86138,                0.53786,                0.71309,                 1.4006,                  1.124,              0.0007328,              0.0007328,              0.0007328
                     34,                0.68616,                 1.3299,                 1.1671,                 1.2339,                      1,                0.93707,                0.98862,                0.84039,                      1,                0.93707,                0.98862,                0.86138,                0.53786,                0.71309,                 1.4006,                  1.124,              0.0006932,              0.0006932,              0.0006932
                     35,                0.68586,                 1.0214,                 1.2409,                 1.2413,                0.97052,                0.99779,                0.99324,                0.86318,                0.98829,                0.93939,                0.99074,                0.88029,                0.53427,                0.61414,                 1.3924,                 1.0909,              0.0006536,              0.0006536,              0.0006536
                     36,                0.65007,                  1.032,                 1.2149,                 1.1397,                0.97052,                0.99779,                0.99324,                0.86318,                0.98829,                0.93939,                0.99074,                0.88029,                0.53427,                0.61414,                 1.3924,                 1.0909,               0.000614,               0.000614,               0.000614
                     37,                0.58632,                0.95094,                  1.083,                  1.123,                0.96612,                 0.9697,                0.99238,                0.87853,                0.96612,                 0.9697,                0.99238,                0.89937,                0.52103,                 0.5762,                 1.3096,                 1.0595,              0.0005744,              0.0005744,              0.0005744
                     38,                0.64757,                0.95663,                 1.1651,                 1.1241,                0.96612,                 0.9697,                0.99238,                0.87853,                0.96612,                 0.9697,                0.99238,                0.89937,                0.52103,                 0.5762,                 1.3096,                 1.0595,              0.0005348,              0.0005348,              0.0005348
                     39,                0.61787,                  1.059,                  1.132,                 1.1135,                0.99588,                 0.9697,                0.99329,                0.88189,                0.99588,                 0.9697,                0.99329,                0.89779,                0.50488,                0.57042,                 1.2314,                 1.0379,              0.0004952,              0.0004952,              0.0004952
                     40,                0.66923,                0.89775,                 1.1085,                 1.2332,                      1,                0.99861,                  0.995,                0.90113,                      1,                0.99861,                  0.995,                0.91231,                0.46967,                0.53857,                  1.196,                 1.0116,              0.0004556,              0.0004556,              0.0004556
                     41,                   0.64,                0.89645,                 1.8752,                 1.2893,                      1,                0.99861,                  0.995,                0.90113,                      1,                0.99861,                  0.995,                0.91231,                0.46967,                0.53857,                  1.196,                 1.0116,               0.000416,               0.000416,               0.000416
                     42,                0.68686,                0.93754,                 1.9024,                 1.3703,                0.94169,                0.97893,                0.99147,                0.92946,                0.94169,                0.97893,                0.99147,                0.91578,                0.43765,                0.53767,                 1.2266,                0.99861,              0.0003764,              0.0003764,              0.0003764
                     43,                 0.5749,                0.86314,                  1.785,                 1.1808,                0.94169,                0.97893,                0.99147,                0.92946,                0.94169,                0.97893,                0.99147,                0.91578,                0.43765,                0.53767,                 1.2266,                0.99861,              0.0003368,              0.0003368,              0.0003368
                     44,                0.65488,                 0.8843,                 1.9897,                   1.32,                0.93797,                      1,                0.99063,                 0.9201,                0.93797,                      1,                0.99063,                 0.9207,                0.44224,                0.54697,                 1.2629,                0.98247,              0.0002972,              0.0002972,              0.0002972
                     45,                0.50316,                 0.8419,                 1.6306,                 1.2174,                0.93797,                      1,                0.99063,                 0.9201,                0.93797,                      1,                0.99063,                 0.9207,                0.44224,                0.54697,                 1.2629,                0.98247,              0.0002576,              0.0002576,              0.0002576
                     46,                0.51396,                0.81287,                 1.6537,                 1.2064,                0.98141,                 0.9697,                0.99412,                0.92652,                0.98141,                 0.9697,                0.99412,                0.92713,                0.43274,                0.54433,                 1.3076,                0.97191,               0.000218,               0.000218,               0.000218
                     47,                0.52896,                0.83485,                 1.6614,                 1.1612,                0.98141,                 0.9697,                0.99412,                0.92652,                0.98141,                 0.9697,                0.99412,                0.92713,                0.43274,                0.54433,                 1.3076,                0.97191,              0.0001784,              0.0001784,              0.0001784
                     48,                0.53004,                 1.1025,                 1.5885,                 1.2453,                0.99667,                      1,                  0.995,                0.91629,                0.99667,                      1,                  0.995,                0.92272,                0.40726,                0.53523,                  1.302,                0.95042,              0.0001388,              0.0001388,              0.0001388
                     49,                0.49279,                0.87307,                 1.5455,                 1.1195,                0.99267,                      1,                  0.995,                0.93523,                0.99267,                      1,                  0.995,                0.92226,                0.38794,                0.52266,                 1.2831,                0.93744,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.65899,                  1.114,                 1.6501,                 1.2817,                0.99267,                      1,                  0.995,                0.93523,                0.99267,                      1,                  0.995,                0.92226,                0.38794,                0.52266,                 1.2831,                0.93744,               5.96e-05,               5.96e-05,               5.96e-05
