                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.80619,                  1.319,                 1.1833,                 1.2964,                 0.8947,                      1,                0.97132,                0.77599,                 0.8947,                      1,                0.97132,                0.82016,                0.71531,                0.90722,                 1.5103,                 1.3328,              0.0010892,              0.0010892,              0.0010892
                     25,                0.82812,                 1.1775,                  1.171,                 1.3108,                0.96598,                0.97959,                0.99029,                 0.8078,                0.96598,                0.97959,                0.99029,                0.85204,                 0.6724,                 0.8047,                 1.3496,                 1.2602,              0.0010496,              0.0010496,              0.0010496
                     26,                0.73672,                 1.0907,                 1.1357,                 1.2335,                0.96598,                0.97959,                0.99029,                 0.8078,                0.96598,                0.97959,                0.99029,                0.85204,                 0.6724,                 0.8047,                 1.3496,                 1.2602,                0.00101,                0.00101,                0.00101
                     27,                0.78357,                 1.1851,                 1.0534,                 1.2615,                      1,                0.95916,                0.99385,                0.82706,                      1,                0.95916,                0.99385,                0.85467,                 0.6737,                0.79225,                 1.3052,                  1.231,              0.0009704,              0.0009704,              0.0009704
                     28,                0.83211,                 1.1532,                 1.2444,                 1.3437,                0.97765,                0.97959,                 0.9822,                0.76636,                0.96074,                      1,                0.99217,                 0.7915,                0.79646,                0.91558,                 1.3421,                 1.3656,              0.0009308,              0.0009308,              0.0009308
                     29,                0.73075,                 1.1605,                 1.1626,                 1.2461,                0.99595,                      1,                  0.995,                0.82075,                0.99595,                      1,                  0.995,                0.83674,                0.67529,                0.79992,                 1.2519,                  1.239,              0.0008912,              0.0008912,              0.0008912
                     30,                0.78882,                  1.133,                  1.135,                  1.311,                0.99595,                      1,                  0.995,                0.82075,                0.99595,                      1,                  0.995,                0.83674,                0.67529,                0.79992,                 1.2519,                  1.239,              0.0008516,              0.0008516,              0.0008516
                     31,                0.76133,                 1.1562,                  1.155,                 1.3117,                0.97607,                0.97959,                0.99274,                0.83758,                0.97607,                0.97959,                0.99274,                0.83363,                0.61733,                0.86333,                 1.2699,                  1.195,               0.000812,               0.000812,               0.000812
                     32,                0.74117,                 1.1263,                 1.1426,                 1.2803,                      1,                0.97359,                0.99315,                0.85275,                      1,                0.97359,                0.99315,                0.85356,                  0.579,                0.78785,                 1.2258,                  1.191,              0.0007724,              0.0007724,              0.0007724
                     33,                0.71008,                 1.1638,                 1.1073,                 1.2559,                0.97995,                0.99761,                 0.9926,                 0.8501,                0.97995,                0.99761,                 0.9926,                0.86652,                0.54627,                0.67705,                 1.1518,                 1.1307,              0.0007328,              0.0007328,              0.0007328
                     34,                0.64344,                0.99627,                 1.0139,                  1.145,                      1,                0.99657,                  0.995,                0.88172,                      1,                0.99657,                  0.995,                0.88288,                0.55498,                0.64303,                 1.1279,                 1.1203,              0.0006932,              0.0006932,              0.0006932
                     35,                0.64294,                 1.1344,                 1.0169,                 1.1503,                      1,                0.99657,                  0.995,                0.88172,                      1,                0.99657,                  0.995,                0.88288,                0.55498,                0.64303,                 1.1279,                 1.1203,              0.0006536,              0.0006536,              0.0006536
                     36,                0.59989,                0.91287,                0.99117,                 1.1954,                      1,                0.99688,                  0.995,                0.90047,                      1,                0.99688,                  0.995,                0.90113,                0.53381,                0.59028,                 1.0958,                 1.0867,               0.000614,               0.000614,               0.000614
                     37,                0.73458,                 1.1074,                 1.0282,                 1.2103,                0.99623,                0.97959,                 0.9946,                0.90859,                0.99623,                0.97959,                 0.9946,                0.91179,                0.49006,                0.56085,                 1.0562,                 1.0494,              0.0005744,              0.0005744,              0.0005744
                     38,                0.57731,                 0.8769,                0.94831,                 1.1362,                0.97702,                      1,                 0.9946,                 0.9097,                0.97702,                      1,                 0.9946,                0.91124,                0.47509,                0.53987,                 1.0352,                 1.0428,              0.0005348,              0.0005348,              0.0005348
                     39,                0.63791,                0.81576,                0.93685,                 1.1137,                0.97942,                      1,                 0.9942,                0.91564,                0.97942,                      1,                 0.9942,                0.91023,                0.47843,                0.53142,                0.97998,                 1.0504,              0.0004952,              0.0004952,              0.0004952
                     40,                0.59734,                0.94958,                0.94936,                 1.1397,                0.97942,                      1,                 0.9942,                0.91564,                0.97942,                      1,                 0.9942,                0.91023,                0.47843,                0.53142,                0.97998,                 1.0504,              0.0004556,              0.0004556,              0.0004556
                     41,                0.66484,                 1.0376,                 1.5062,                 1.3726,                0.99881,                      1,                  0.995,                0.93829,                0.99881,                      1,                  0.995,                0.92014,                0.45499,                0.52972,                 0.9607,                 1.0289,               0.000416,               0.000416,               0.000416
                     42,                 0.6549,                0.85053,                 1.4097,                 1.3568,                0.99817,                      1,                  0.995,                0.93784,                0.99817,                      1,                  0.995,                 0.9283,                0.42745,                0.52982,                 1.0133,                 1.0107,              0.0003764,              0.0003764,              0.0003764
                     43,                0.53435,                0.90822,                 1.3275,                 1.1914,                0.99835,                      1,                  0.995,                0.94234,                0.99835,                      1,                  0.995,                0.93462,                0.42971,                0.53546,                 1.0637,                 1.0052,              0.0003368,              0.0003368,              0.0003368
                     44,                0.51744,                 0.8091,                 1.2517,                 1.2348,                0.99835,                      1,                  0.995,                0.94234,                0.99835,                      1,                  0.995,                0.93462,                0.42971,                0.53546,                 1.0637,                 1.0052,              0.0002972,              0.0002972,              0.0002972
                     45,                0.54597,                0.85226,                 1.1943,                 1.1928,                 0.9979,                      1,                  0.995,                0.93465,                 0.9979,                      1,                  0.995,                 0.9438,                0.45061,                0.54353,                 1.1185,                 1.0152,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.4898,                0.77782,                 1.2338,                 1.1776,                0.99774,                      1,                  0.995,                0.92192,                0.99774,                      1,                  0.995,                0.94159,                0.46221,                0.53189,                 1.1198,                 1.0176,               0.000218,               0.000218,               0.000218
                     47,                    0.5,                0.70566,                 1.2103,                 1.2053,                0.99841,                      1,                  0.995,                0.92132,                0.99841,                      1,                  0.995,                0.93658,                0.46743,                 0.5254,                 1.1156,                 1.0182,              0.0001784,              0.0001784,              0.0001784
                     48,                0.47616,                0.77883,                 1.1654,                 1.1417,                0.99831,                      1,                  0.995,                0.92227,                0.99831,                      1,                  0.995,                0.93249,                 0.4512,                0.51965,                 1.0873,                   1.01,              0.0001388,              0.0001388,              0.0001388
                     49,                0.48198,                0.79664,                 1.2535,                 1.1467,                0.99831,                      1,                  0.995,                0.92227,                0.99831,                      1,                  0.995,                0.93249,                 0.4512,                0.51965,                 1.0873,                   1.01,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.53202,                0.87947,                  1.261,                 1.1465,                0.99815,                      1,                  0.995,                0.91525,                0.99815,                      1,                  0.995,                0.92697,                 0.4522,                0.51529,                 1.0723,                 1.0148,               5.96e-05,               5.96e-05,               5.96e-05
